// Armazenamento de todas as perguntas e suas respectivas respostas
pergunta;a;b;c;d;correta
Após ingeridos pela base da teia alimentar, onde compostos químicos orgânicos tóxicos se acumulam?;Apenas nos pulmões de peixes grandes;Especialmente no sistema ósseo das aves;Preferencialmente no tecido adiposo (gordura);Na medula espinhal e cartilagens das tartarugas;C
Ao invés de uma armadura rígida de aço maciço puro, os carros modernos amassam facilmente para poder:;Dobrar o peso estrutural e não voar nas curvas;Economizar no preço do metal de ferro nobre;Proteger os passageiros absorvendo a força do choque;Facilitar o trabalho rápido da prensa no ferro-velho;C
Qual foi a motivação social das famosas campanhas da cruzada à Terra Santa na época da Idade Média?;Ajudar financeiramente os exércitos imperiais do Oriente;Uma busca espiritual de salvação matando inimigos da fé;A promoção da união e harmonia com as religiões árabes;O repovoamento das vastas áreas congeladas da Rússia;B
A técnica dos artistas de entalhe da Ilha do Ferro em Alagoas se destaca historicamente porque eles:;Copiam perfeitamente quadros franceses pintados;Esculpem animais e pessoas usando troncos retorcidos;Usam moldes de plástico para fabricar peças idênticas;Retiram madeira apenas de pinheiros do Canadá;B
Em Portugal de 1808, a instalação da Impressão Régia e da tipografia visou diretamente garantir:;A circulação ilimitada da revolta popular do povo;A proteção, afirmação e legitimação do império local;O fim da literatura brasileira escrita nos jornais;O apoio financeiro para a compra de grandes engenhos;B
Qual o intuito central da irônica "tradução" do pesado e antigo jargão jurídico nos grandes jornais?;Proteger o segredo vital dos senadores e magistrados;Simplificar e informar o direito para todo o público;Erradicar a gramática tradicional da língua materna;Forçar as escolas e universidades a fechar portas;B
A interface é essencial aos sistemas de hipertexto virtuais modernos porque ela é responsável por:;Eliminar a conexão do computador com a vasta internet;Organizar a informação e guiar a interação com o homem;Apagar memórias fotográficas dos aparelhos em repouso;Imprimir documentos usando uma tinta virtual cega;B
Segundo Adam Smith, o que induz um pequeno padeiro a acordar cedo e garantir o pão na prateleira?;Seu medo brutal de ser açoitado pelo governo militar;O altruísmo ético aliado à busca de ganho no sistema;A ordem imposta pelos antigos sábios religiosos locais;O puro desejo de esmagar padarias pequenas ao redor;B
O funcionamento físico basilar de um grande aquecedor solar para a água da chuva no telhado repousa na:;Corrosão das placas pelo ácido concentrado;Convecção e irradiação do calor da grande estrela;Fricção mecânica das placas ao forte vento sul;Geração de fortes ondas de eletromagnetismo escuro;B
Durante a digestão estomacal no ser humano, um preservante como o nitrito de sódio misturado reage com o:;Suco gástrico fortemente ácido;Bile alcalina do fígado magro;Sangue arterial limpo oxigenado;Fluido lacrimal dos grandes olhos;A
Ao observar as grandes maratonas em águas abertas, a principal dificuldade que muda a rota ideal dos barcos é:;A falta de luz do sol bloqueada;O canto agudo de grandes cetáceos;O arrasto causado pela correnteza marinha;A salinidade baixa de mares tropicais;C
Devido à invisibilização silenciosa sofrida por anos, as religiões afro-brasileiras enfrentam o peso do:;Rigor na leitura da pesada bíblia em aramaico;Altíssimo lucro monetário sem imposto estatal;Preconceito estrutural racial e do estigma histórico;Apoio imenso e irrestrito da vasta mídia televisiva;C
Segundo a obra 1984, de George Orwell, onde o passado existe de forma concreta e real?;Em construções secretas blindadas de concreto;Em antigos registros e na mente dos indivíduos;Nas narrativas orais proibidas nas ruelas curtas;Em discos virtuais protegidos por fortes senhas;B
Qual característica comportamental é diretamente fortalecida pela prática da tolerância social?;O ódio instintivo e profundo pelas outras nações;O culto focado cegamente no bem-estar individual;A aceitação pacífica das mais diversas vivências;A opressão silenciosa das classes populares reais;C
Qual é o provável objetivo social principal da mensagem publicitária "Obrigado por não fumar"?;Impor punições físicas aos vendedores de cigarro;Incentivar a substituição do vício por bebidas;Questionar a falsa pureza das folhas de tabaco;Agradecer e parabenizar a população não fumante;D
Por que muitos jovens afirmam estar abandonando ou reduzindo muito o uso das redes sociais?;Porque encareceram abruptamente em todo o mundo;Pois geram alta dependência e desperdício de tempo;Porque os aparelhos antigos já não rodam os apps;Devido à restrição legal de idade pelos governos;B
Nos noticiários políticos do Chile, a quem o termo "encapuchados" costuma ser fortemente associado?;Policiais que comandam pacificamente a passeata;Políticos governistas isentos no fim dos eventos;Responsáveis diretos pela queima de carros e caos;Intelectuais que publicam as matérias jornalísticas;C
Antes da colonização, para qual função servia a praça peruana da "Huaca de la Luna"?;Ser o cenário de sacrifícios e de ritos estranhos;Armazenar grãos gigantescos vindos da Europa;Treinar intensamente os cavalos do rei espanhol;Guardar fardos de tecidos dos comerciantes locais;A
Qual língua nativa da América do Sul divide status de língua oficial com o espanhol no Paraguai?;O dialeto isolado andino conhecido como quéchua;A língua indígena tradicional e secular guarani;O idioma misterioso usado pelos povos mapuches;A ramificação linguística rural chamada aymara;B
Em regiões como as Ilhas Canárias e Cuba, o que significa a palavra popular "guagua"?;Uma chuva torrencial de verão que inunda as ruas;Um transporte público equivalente ao nosso ônibus;Uma criança recém-nascida que chora muito à noite;Uma árvore frutífera que produz frutos vermelhos;B
Na literatura romântica poética, a imagem de um sino triste que toca em "voz de choro" representa:;A empolgação popular com o início da primavera;O desespero da comunidade pela falta de alimentos;O lamento profundo que acompanha marchas fúnebres;O alerta urgente de invasões marítimas invasoras;C
Nas poesias contemporâneas, o conceito de "rede" deixou de ser físico e passou a simbolizar o quê?;Uma armadilha letal escondida para caçar pássaros;A restrição agressiva do livre direito de ir e vir;O entrelaçamento de profundos vínculos e afetos;A barreira que separa os lares dos longos rios;C
Na psicologia moderna, a ausência de conexões reais e o excesso virtual causam no ser humano a:;Percepção coletiva e amarga de absoluta solidão;Plenitude completa alcançada por via do silêncio;Expansão da empatia perante todas as diferenças;Maior tolerância física diante de longas filas;A
Na sua infância, por qual apelido carinhoso a escritora Clarice Lispector era mais conhecida?;A menina destemida guerreira da lança prateada;A sábia conselheira oficial da realeza nacional;A doce e leal protetora de todos os animais;A exímia e veloz nadadora do profundo mar salgado;C
Qual notável inovação asiática permitiu a uma empresa erguer prédios na China em apenas 19 dias?;Trabalho ininterrupto e forçado de camponeses;O uso exclusivo de blocos imensos de isopor verde;O uso do modelo rápido de arquitetura pré-fabricada;A ausência completa de estruturas como os banheiros;C
Qual brilhante e histórico sociólogo escreveu a fundamental obra nacional "Casa-Grande & Senzala"?;O clássico e eterno ficcionista Machado de Assis;O pesquisador antropológico Gilberto Freyre;O renomado estudioso indígena Darcy Ribeiro;O político revolucionário Getúlio Vargas do Sul;B
O que as integrantes do movimento "Mães da Praça de Maio" procuram incessantemente?;Vistos diplomáticos para deixarem a velha nação;O perdão de duras e antigas dívidas imobiliárias;Localizar filhos e netos dados como desaparecidos;A isenção dos altos impostos cobrados anualmente;C
Qual desfecho social se deu na Espanha devido à desinformação no início da pandemia de 1918?;Foi forçada a recuar de suas campanhas navais;Viu todos os seus médicos fugirem em pânico;Batizou o vírus global equivocadamente na história;Sofreu severas multas de reinos vizinhos europeus;C
Como a antropologia compreende os inúmeros traços de comportamento dos grupos pré-coloniais andinos?;Como lendas criadas pela moderna indústria urbana;Como elementos de um vasto universo natural e místico;Como meras cópias da grande mitologia romana clássica;Como reflexo da dominação militar da coroa espanhola;B
Na política urbana, qual a consequência principal para uma metrópole ao asfaltar todos os morros?;O surgimento de novas fontes rasas de água pura;A atração repentina e descontrolada de gaivotas;O risco elevado de enchentes por impermeabilização;O esfriamento extremo das manhãs ensolaradas;C
Na literatura uruguaia, como as diferenças sociais profundas costumam ser expostas pelo autor?;Criticando a falta de chuva em fazendas antigas;Destacando o enorme fosso no trato dos oprimidos;Exaltando o amor incondicional das monarquias;Fingindo desconhecer que os pássaros existem ali;B
No universo jornalístico contemporâneo, qual perigo principal as bolhas criadas pelas redes causam?;Cegam o público para o real e as visões contraditórias;Encarecem brutalmente a impressão de livros grossos;Estimulam debates pacíficos nas feiras de rua velhas;Destroem os fios subterrâneos da conexão de energia;A
Como os historiadores avaliam a substituição da língua original indígena pelo colonizador espanhol?;Um grande avanço da educação pura nas tribos caladas;O fim da miséria biológica dos imensos povos isolados;Uma perda cultural letal irreparável para o continente;Um processo democrático natural da grande evolução;C
O que o sociólogo Zygmunt Bauman entende como "modernidade líquida" no cenário das novas gerações?;A estabilidade eterna e rígida das atuais famílias;A liquefação física veloz dos antigos rios glaciares;A fluidez inconstante e passageira das relações;O excesso de grandes precipitações na região sul;C
Para Michel Foucault, por que as antigas execuções públicas violentas foram gradualmente abandonadas?;Porque faltavam verbas aos cruéis reinados gélidos;Pois a punição e vigilância tornaram-se psicológicas;Pela imensa revolta popular de generais do exército;Devido à total falência da madeira que fazia forcas;B
Qual recurso vital a Amazônia exporta invisivelmente aos céus do centro-sul?;Nuvens escuras de poeira vulcânica inativa;Intensos jatos de radiação verde aquecida;Maciças umidades conhecidas como rios voadores;Bandos migratórios de minúsculos pardais;C
Segundo a química ambiental, por que descartar óleo usado diretamente no esgoto é muito prejudicial?;Porque atrai imensos e raros peixes para os canos;Pois entope os filtros mas limpa melhor a água do mar;Porque cria uma fina e letal camada sobre rios e lagos;Devido à atração de grandes raios gélidos do sol;C
No famoso conto pré-socrático de Platão sobre a caverna, o que o sol brilhante do exterior simboliza?;O terror cego instintivo e mortal perante deuses;A pura queima severa e quente das ilusões humanas;A ignorância extrema daqueles que nunca lutaram;O conhecimento puro atrelado e iluminado da verdade;D
Por que a nimesulida e outros medicamentos ácidos devem ser tomados com extrema cautela médica?;Para impedir que causem severa letargia mental;Devido ao alto poder nocivo à parede nua estomacal;Porque atraem fortes formigas no momento de suor;Para acelerar absurdamente a batida do coração;B
Qual foi o objetivo da famosa criação das políticas sociais e das cotas afirmativas nas universidades?;Diminuir brutalmente o lucro diário do estado geral;Oprimir os estudantes que apresentam maiores notas;Realizar forte reparação e garantir as igualdades;Vender grandes títulos puros do império na Europa;C
Por qual princípio físico um barco pesado de aço consegue boiar sem afundar em uma lagoa?;Devido ao empuxo hidrostático gerado pela água;Pela forte magnetização do seu casco de ferro;Graças à completa ausência de pressões locais;Pela queima constante e rápida de carvão duro;A
Para verificar minuciosamente as delicadas hemácias e bactérias, o microscópio óptico vale-se do jogo de:;Reflexão espelhada com placas de diamante;Lentes objetivas e oculares que multiplicam aumento;Lasers quentes focados de queima biológica imediata;Ondas sonoras focadas que emitem forte brilho;B
A frequente queda de terra nas periferias é tragédia direta da expansão urbana descontrolada com a:;Fuga das aves silvestres construtoras de túneis;Poda drástica de folhas rasteiras dos morros rasos;Impermeabilização profunda da terra pelasfalto e cimento;Plantação excessiva de pesadas árvores frutíferas;C
Com o intuito de enviar avisos em guerras na antiguidade, o Imperador romano Júlio César criava:;Mapas em formato de espelhos refletidos e opacos;Sistemas de pombo-correio pintados de branco e vermelho;A clássica cifra deslocando as letras em três posições;Cânticos estridentes que surdavam generais vizinhos;C
Os sistemas agrícolas em que os antigos agrotóxicos dão espaço para os orgânicos usam qual tática?;Substituem compostos nocivos por extratos de folhas defensivas;Lançam pesados ataques radiativos com pequenos aviões;Incendeiam a plantação todo o final do rígido inverno;Cobrem as folhas com grandes mantas prateadas sintéticas;A
Para Aristóteles clássico e sábio antigo, um Estado perfeito e forma justa de forte governo se baseiam em:;Atender sempre o rígido bem de sua minoria armada;Ignorar severamente opiniões das classes mais ricas;Ter o grande foco principal no bem-estar comum e geral;Escravizar todo e qualquer povo além de sua fronteira;C
A luta incisiva, social e intensa pela popular doação e oferta de sangue baseia-se sobretudo no forte:;Estímulo e apelo à sensibilidade humana empatia da massa;Benefício financeiro direto ganho pelo generoso doador;Rígido castigo da grande prisão se a lei for ignorada;Respeito inquestionável pela divina divindade oriental;A
Como a fumaça das longas queimadas na África consegue cruzar o oceano e chegar ao céu do Brasil?;Pela forte rotação inversa terrestre contínua;Via circulação dinâmica das massas de ar;Pelo reflexo intenso das geleiras derretidas;Através do lançamento de modernos satélites;B
Qual forte impacto o uso de energia geotérmica em edifícios traria ao sistema elétrico brasileiro?;Zerar as altas demandas das indústrias estatais;Reduzir a pressão de uso sobre usinas hidrelétricas;Aumentar a terrível poluição geral das grandes vias;Acelerar e agravar as brutais secas na Amazônia;B
Na evolução dos mamíferos, qual importante estrutura reduziu drasticamente com o avanço da lactação?;A grossa pele cheia de pelos do inverno;A versatilidade das guelras de oxigenação;A reserva da vesícula vitelínica do embrião;A glândula responsável pelo rígido suor;C
O que ricas placas solares contendo carbono grafeno conseguem fazer de inovador em dias de chuva?;Reduzir o impacto destrutivo dos fortes raios solares;Evaporar instantaneamente a fina água da alta nuvem;Gerar diferença de potencial e alta energia elétrica;Bloquear todo e qualquer calor na superfície dura;C
Ao catalogar os tons de pele humanos, o projeto artístico Nuancier procurava lançar dura crítica à:;Velha tecnologia fotográfica usada antigamente;Ilegal importação e venda de caras tintas exóticas;Comercialização e severa discriminação das raças;Moda e vaidade que encarece tecidos das lojas finas;C
Em termos sociais plenos, qual é o papel valioso e construtivo do sentimento da tolerância real?;Oprimir os povos recém-chegados de áreas distantes;Legitimar e respeitar as variadas formas de se viver;Incentivar e forçar práticas místicas orientais antigas;Zerar impostos alfandegários nas ricas fronteiras;B
A urgente perfuração de novos poços na República Democrática do Congo visou combater de forma direta:;A epidemia terrível e grave de mortes por cólera;A imensa escassez e total falta de raros diamantes;A desnutrição de gados nas enormes ricas pradarias;O crescimento de velozes cobras venenosas nos rios;A
O encontro de antigas pinturas rupestres atreladas aos neandertais alterou na ciência o registro:;Da rápida formação genética dos modernos oceanos puros;Das eras geológicas e formação dos morros gélidos;Das datas de uso de pensamento e de antiga linguagem;Da extinção dos rudes e ferozes dinossauros tiranos;C
A forte e popular festividade mexicana do "Día de los Muertos" resiste no país essencialmente pelo:;Abraço da população a uma crença pré-colonial raiz;Forte incentivo da política estatal estadunidense;Severo comércio diário de flores coloridas europeias;Rigor de grandes multas e fortes sanções policiais;A
Segundo visões críticas, a dura dependência de velozes tecnologias e senhas têm gerado no ser humano:;Um intenso vazio, solidão e total despersonalização;A perfeita elevação do antigo e bom status espiritual;Amor absoluto pelas finas coisas belas da natureza;A erradicação imediata das grandes velhas guerras;A
Como a tecnologia tem auxiliado comunidades indígenas a salvarem seus frágeis idiomas falados?;Aumentando a caça na grande selva úmida tropical;Destruindo manuscritos antigos nas escolas do governo;Garantindo a sua rápida digitalização e conservação;Criando fortes multas de trânsito em estradas locais;C
Por que o criador da marca Apple, Steve Jobs, comparou certa vez o computador com uma "bicicleta"?;Pela leveza ao carregá-lo solto em grandes mochilas;Pois atua como grande potencializador livre da mente;Pela facilidade de uso em exercícios nos esportes;Porque suas grandes e longas peças gastam rápido;B
O "Candombe" uruguaio, som reprimido no passado antigo, hoje vivencia uma aceitação devido à(ao):;Censura policial das ricas bandas sonoras eruditas;Enorme receptividade contínua da sociedade moderna;Total extinção das famosas rádios em todo o país;Abolição de guitarras e pesados teclados urbanos;B
Qual fato histórico causou pesados protestos no Uruguai contra o feriado chamado "Día de la Raza"?;A imposição da antiga escrita egípcia nas escolas;A proibição do Carnaval oficial nos meses de festa;O massacre dos povos do local e a invasão europeia;O duro e alto aumento de impostos na rica fronteira;C
Qual imensa vantagem a psicologia acha no uso rápido da hipertextualidade das telas e da rede atual?;Favorece rápida assimilação global e domínio da ideia;Provoca pesada alienação e o fim do amor familiar;Cria falsos intelectuais dependentes do governo;Incentiva furtos online do sistema bancário seguro;A
No cenário esportivo global, a luta firme de uma atleta árabe visando lutar de "hijab" reforça a(o):;Forte pressão da fé cristã em torneios abertos;Total ausência de regras no Comitê Olímpico Oficial;Fraca presença das modernas mulheres em arenas;Influência forte da religião e cultura nas quadras;B
Com laços firmes na história ibérica do passado, os judeus exilados chamados "Sefarditas" mantêm:;A recusa ao lucro em antigos e finos comércios do mar;Os costumes vitais originais e o idioma espanhol puro;O desejo de punir a dura realeza que os transportou;O esquecimento de todos os seus antepassados nativos;B
Que sério e letal perigo tem sido negligenciado nas modernas instalações de marcapassos médicos vivos?;Altas inflamações pelo uso de pesados cabos plásticos;Risco real de infecções crônicas vindas dos médicos;Problemas graves via terríveis falhas de software neles;Rejeição severa ao metal da dura agulha cirúrgica fina;C
A clássica e admirada dança do "tango argentino" garantiu sobrevivência rica pelo mundo por ter:;Isolado seu rico som apenas para os turistas ricos;Rompido fronteiras e logrado difusão pelo exterior;Vendido seus amplos direitos musicais para os ingleses;Deixado de focar nas longas canções cantadas do povo;B
No Paraguai, que atitude foi vital para o resgate e a valorização do Guarani?;A proibição formal do castelhano moderno;A criaçãode prisões por falta na aula;A inclusão como língua nos currículos de ensino;A importação massiva da literatura vinda de Madri;C
Na clássica obra sociológica "Casa-Grande", Gilberto Freyre prega firme que brancos levam na sua alma a:;Sombra, vivência real nativa e a forte herança do negro;Mera lembrança fria vinda dos longos campos finos de neve;Pureza técnica da clássica realeza rica europeia fria real;Paixão pelos densos ritos de sacrifícios da Ásia densa;A
Segundo a obra 1984, de George Orwell, onde o passado existe de forma concreta e real?;Em construções secretas blindadas de concreto;Em antigos registros e na mente dos indivíduos;Nas narrativas orais proibidas nas ruelas curtas;Em discos virtuais protegidos por fortes senhas;B
Qual característica comportamental é diretamente fortalecida pela prática da tolerância social?;O ódio instintivo e profundo pelas outras nações;O culto focado cegamente no bem-estar individual;A aceitação pacífica das mais diversas vivências;A opressão silenciosa das classes populares reais;C
Por que muitos jovens afirmam estar abandonando ou reduzindo muito o uso das redes sociais?;Porque encareceram abruptamente em todo o mundo;Pois geram alta dependência e desperdício de tempo;Porque os aparelhos antigos já não rodam os apps;Devido à restrição legal de idade pelos governos;B
Na psicologia moderna, a ausência de conexões reais e o excesso virtual causam no ser humano a:;Percepção coletiva e amarga de absoluta solidão;Plenitude completa alcançada por via do silêncio;Expansão da empatia perante todas as diferenças;Maior tolerância física diante de longas filas;A
Como a antropologia compreende os inúmeros traços de comportamento dos grupos pré-coloniais andinos?;Como lendas criadas pela moderna indústria urbana;Como elementos de um vasto universo natural e místico;Como meras cópias da grande mitologia romana clássica;Como reflexo da dominação militar da coroa espanhola;B
Na política urbana, qual a consequência principal para uma metrópole ao asfaltar todos os morros?;O surgimento de novas fontes rasas de água pura;A atração repentina e descontrolada de gaivotas;O risco elevado de enchentes por impermeabilização;O esfriamento extremo das manhãs ensolaradas;C
No universo jornalístico contemporâneo, qual perigo principal as bolhas criadas pelas redes causam?;Cegam o público para o real e as visões contraditórias;Encarecem brutalmente a impressão de livros grossos;Estimulam debates pacíficos nas feiras de rua velhas;Destroem os fios subterrâneos da conexão de energia;A
Como os historiadores avaliam a substituição da língua original indígena pelo colonizador espanhol?;Um grande avanço da educação pura nas tribos caladas;O fim da miséria biológica dos imensos povos isolados;Uma perda cultural letal irreparável para o continente;Um processo democrático natural da grande evolução;C
Segundo a química ambiental, por que descartar óleo usado diretamente no esgoto é muito prejudicial?;Porque atrai imensos e raros peixes para os canos;Pois entope os filtros mas limpa melhor a água do mar;Porque cria uma fina e letal camada sobre rios e lagos;Devido à atração de grandes raios gélidos do sol;C
Qual foi o objetivo da famosa criação das políticas sociais e das cotas afirmativas nas universidades?;Diminuir brutalmente o lucro diário do estado geral;Oprimir os estudantes que apresentam maiores notas;Realizar forte reparação e garantir as igualdades;Vender grandes títulos puros do império na Europa;C
Qual planeta é conhecido como o "Planeta Vermelho"?;Vênus;Marte;Mercúrio;Netuno;B
O que os pandas comem quase exclusivamente?;Insetos;Carne de peixe;Bambu;Frutas cítricas;C
Qual é a velocidade aproximada da luz?;300 km/h;3.000 km/s;300.000 km/s;3.000.000 km/h;C
Qual é a fórmula química da água?;CO2;H2O;NaCl;O2;B
Que força nos mantém presos ao chão da Terra?;Magnetismo;Gravidade;Eletricidade;Inércia;B
Qual animal é conhecido como o "Rei da Selva"?;Tigre;Leão;Elefante;Gorila;B
Quantos dentes tem um ser humano adulto saudável com a dentição completa?;28;30;32;36;C
Qual é a principal função dos glóbulos vermelhos no sangue?;Transportar oxigênio;Combater infecções;Coagular o sangue;Produzir hormônios;A
Qual é o único mamífero capaz de voar?;Pinguim;Esquilo-voador;Morcego;Águia;C
Qual é a temperatura de ebulição da água ao nível do mar?;50 °C;100 °C;150 °C;200 °C;B
Quem descobriu o Brasil em 1500?;Dom Pedro I;Cristóvão Colombo;Pedro Álvares Cabral;Marechal Deodoro;C
Qual civilização antiga construiu as grandes pirâmides de Gizé?;Romana;Grega;Egípcia;Maia;C
Quem foi o primeiro presidente do Brasil?;Getúlio Vargas;Juscelino Kubitschek;Marechal Deodoro da Fonseca;Tiradentes;C
Em qual ano começou a Primeira Guerra Mundial?;1914;1918;1939;1945;A
Qual imperador romano é famoso por ter supostamente incendiado Roma?;Júlio César;Nero;Augusto;Calígula;B
Quem proclamou a independência do Brasil em 1822?;Dom João VI;Dom Pedro I;Princesa Isabel;Dom Pedro II;B
Qual era o nome do navio que naufragou em sua viagem inaugural em 1912?;Santa Maria;Queen Mary;Titanic;Bismarck;C
Quem libertou os escravos no Brasil através da Lei Áurea?;Dom Pedro II;Princesa Isabel;Zumbi dos Palmares;Castro Alves;B
Na mitologia grega, quem é o Deus dos Deuses e dos raios?;Poseidon;Hades;Zeus;Apolo;C
Em qual cidade ficava o famoso Coliseu na Antiguidade?;Atenas;Roma;Esparta;Cartago;B
Qual país lançou as bombas atômicas em Hiroshima e Nagasaki em 1945?;Alemanha;União Soviética;Estados Unidos;Reino Unido;C
Qual navegador liderou a primeira viagem que deu a volta ao mundo?;Cristóvão Colombo;Vasco da Gama;Fernão de Magalhães;Américo Vespúcio;C
Quem foi a famosa rainha do Egito antigo que se aliou a Júlio César e Marco Antônio?;Nefertiti;Cleópatra;Hatshepsut;Ismênia;B
A Queda do Muro de Berlim ocorreu em qual ano, simbolizando o fim de uma era?;1945;1975;1989;2001;C
Qual herói da independência mineira foi executado no dia 21 de abril?;Aleijadinho;Tiradentes;Bento Gonçalves;Zumbi;B
Qual povo antigo usava a escrita chamada "Cuneiforme"?;Astecas;Chineses;Sumérios;Incas;C
Quem foi o líder espiritual e político da independência da Índia por vias pacíficas?;Nelson Mandela;Mahatma Gandhi;Martin Luther King;Dalai Lama;B
O que significa a sigla ONU?;Organização de Nações Unidas;Organização das Nações Unidas;Ordem Nacional Única;Operação de Núcleos Unidos;B
Quem foi o primeiro homem a pisar na Lua, em 1969?;Yuri Gagarin;Neil Armstrong;Buzz Aldrin;Alan Shepard;B
Qual regime econômico e político vigorava na União Soviética durante a Guerra Fria?;Capitalismo;Comunismo;Feudalismo;Monarquia;B
Qual país colonizou o Brasil?;Espanha;Portugal;França;Inglaterra;B
A Revolução Francesa começou com a queda de qual prisão famosa?;Alcatraz;Carandiru;Bastilha;Torre de Londres;C
Na mitologia grega, qual criatura tinha cobras no lugar de cabelos?;Esfinge;Quimera;Medusa;Hidra;C
Qual é a moeda oficial usada na maioria dos países da União Europeia?;Dólar;Libra;Euro;Franco;C
Qual feriado nacional brasileiro é celebrado no dia 7 de setembro?;Independência do Brasil;Proclamação da República;Tiradentes;Finados;A
Qual pintor holandês cortou a própria orelha e pintou "A Noite Estrelada"?;Vincent van Gogh;Rembrandt;Claude Monet;Salvador Dalí;A
Quem é considerado o "Rei do Pop"?;Elvis Presley;Freddie Mercury;Michael Jackson;Prince;C
Qual banda britânica famosa gravou o álbum "Abbey Road" e era de Liverpool?;Queen;The Beatles;Pink Floyd;Led Zeppelin;B
Quem escreveu o clássico da literatura brasileira "Dom Casmurro"?;Monteiro Lobato;Machado de Assis;Carlos Drummond de Andrade;Clarice Lispector;B
Qual é o idioma oficial falado no Brasil?;Espanhol;Tupi;Português;Inglês;C
Qual personagem do folclore brasileiro tem os pés virados para trás?;Saci-Pererê;Curupira;Iara;Mula sem Cabeça;B
Qual super-herói das histórias em quadrinhos tem a identidade secreta de Bruce Wayne?;Superman;Batman;Homem-Aranha;Homem de Ferro;B
Qual é o prêmio máximo entregue anualmente pela indústria do cinema em Hollywood?;Grammy;Emmy;Oscar;Globo de Ouro;C
Quem escreveu as histórias do "Sítio do Picapau Amarelo"?;Monteiro Lobato;Mauricio de Sousa;Ziraldo;Jorge Amado;A
Qual instrumento musical possui 88 teclas pretas e brancas?;Violão;Piano;Flauta;Bateria;B
A estátua do Cristo Redentor fica localizada em qual cidade brasileira?;São Paulo;Rio de Janeiro;Salvador;Belo Horizonte;B
Qual pintor espanhol é um dos fundadores do movimento chamado Cubismo?;Salvador Dalí;Pablo Picasso;Francisco de Goya;Diego Velázquez;B
Quem é o criador da Turma da Mônica?;Ziraldo;Mauricio de Sousa;Walt Disney;Stan Lee;B
Qual é o livro mais vendido e traduzido de toda a história da humanidade?;Dom Quixote;O Pequeno Príncipe;A Bíblia;Harry Potter;C
Qual estilo musical nasceu nos morros e subúrbios do Rio de Janeiro e tem o pandeiro como base?;Rock;Sertanejo;Samba;Axé;C
Quantas cores tem um Cubo Mágico clássico?;4;5;6;8;C
Qual ginasta brasileira fez história ao conquistar o ouro no solo nas Olimpíadas de Tóquio e Paris?;Daiane dos Santos;Rebeca Andrade;Flávia Saraiva;Jade Barbosa;B
Qual esporte é em que os atletas competem sobre uma prancha nas ondas do mar?;Skate;Surfe;Windsurfe;Snowboard;B
De que lado do peito costuma ficar o escudo de um time na camisa oficial de futebol?;Esquerdo;Direito;No centro;Nas costas;A
Quantos dias tem um ano comum (não bissexto)?;360;364;365;366;C
Qual é o resultado da conta de multiplicar 7 vezes 8?;54;56;62;64;B
Quantas cores tem o arco-íris?;5;6;7;8;C
Qual destas redes sociais é focada no compartilhamento de vídeos curtos na vertical?;LinkedIn;TikTok;Twitter / X;Pinterest;B
Quantos lados tem um triângulo?;2;3;4;5;B
Qual é o principal ingrediente da fabricação do chocolate?;Café;Cacau;Trigo;Baunilha;B
Qual fruta é conhecida por ser a matéria-prima do vinho?;Maçã;Laranja;Uva;Morango;C
Quantos meses tem um ano?;10;11;12;13;C
Qual é a raiz quadrada do número 25?;3;4;5;6;C
Qual destas empresas é mundialmente famosa por fabricar celulares conhecidos como "iPhone"?;Samsung;Apple;Microsoft;Google;B
Qual é o nome do animal jovem que nasce da galinha?;Bezerro;Pintinho;Leitão;Cordeiro;B
Quantos segundos tem um minuto?;30;50;60;100;C
O termo "download" na internet significa:;Baixar um arquivo;Enviar um arquivo;Apagar o histórico;Desligar o Wi-Fi;A
Se um ângulo mede exatamente 90 graus, ele é chamado de:;Ângulo agudo;Ângulo reto;Ângulo obtuso;Ângulo raso;B
Qual vegetal é famoso por fazer as pessoas chorarem ao ser descascado e cortado?;Batata;Tomate;Cebola;Cenoura;C
Quantas letras tem o alfabeto oficial da língua portuguesa?;23;25;26;28;C
Qual é o menor número primo existente?;1;2;3;5;B
De quantos em quantos anos temos um ano bissexto (com 366 dias)?;2 anos;3 anos;4 anos;5 anos;C
Qual gás é adicionado às bebidas para deixá-las com gás (borbulhantes), como nos refrigerantes?;Oxigênio;Hélio;Gás Carbônico;Hidrogênio;C
Qual é o nome do processo de transformação do gelo em água líquida?;Fusão;Evaporação;Solidificação;Condensação;A
Quantos lados tem um quadrado?;3;4;5;6;B
Qual é o principal componente do vidro comum?;Plástico;Areia;Metal;Argila;B
Qual destas opções representa a metade de 100?;25;50;75;200;B
Qual sistema operacional para celulares é mantido pelo Google e usado pela maioria das marcas do mundo?;Android;iOS;Windows;Linux;A
Qual sentido do corpo humano nos permite saborear os alimentos?;Visão;Olfato;Paladar;Tato;C
Qual é a principal função da tecnologia CRISPR/Cas9, frequentemente abordada nas questões de engenharia genética recente?;Mapear o genoma sem alterar a sequência de bases.;Permitir a edição precisa de segmentos específicos do DNA.;Clonar organismos multicelulares em larga escala.;Acelerar o processo de tradução do RNA mensageiro.;B
Em um ecossistema contaminado por metais pesados, em qual nível trófico se espera encontrar a maior concentração do poluente por biomassa?;Produtores.;Consumidores primários.;Consumidores secundários.;Consumidores terciários.;D
